compiler method cycles
icc new 1508
gcc malloc 3187
icc malloc 4179
gcc new 7038
icc new 1313
gcc malloc 3408
icc malloc 3361
gcc new 7488
icc new 2340
gcc malloc 4102
icc malloc 3881
gcc new 7714
icc new 1331
gcc malloc 3233
icc malloc 3441
gcc new 7729
icc new 1269
gcc malloc 3361
icc malloc 3907
gcc new 7406
icc new 1444
gcc malloc 3346
icc malloc 3285
gcc new 7647
icc new 1489
gcc malloc 2897
icc malloc 5622
gcc new 7503
icc new 1530
gcc malloc 2961
icc malloc 3609
gcc new 6922
icc new 1300
gcc malloc 3043
icc malloc 3910
gcc new 7170
icc new 1434
gcc malloc 3411
icc malloc 3992
gcc new 8797
icc new 1575
gcc malloc 3337
icc malloc 3628
gcc new 7922
icc new 1321
gcc malloc 3117
icc malloc 3442
gcc new 7497
icc new 1655
gcc malloc 3055
icc malloc 3221
gcc new 9266
icc new 1514
gcc malloc 3058
icc malloc 3918
gcc new 7873
icc new 1801
gcc malloc 3035
icc malloc 3258
gcc new 7840
icc new 1484
gcc malloc 5515
icc malloc 3350
gcc new 8326
icc new 1621
gcc malloc 3111
icc malloc 3766
gcc new 7922
icc new 1194
gcc malloc 3472
icc malloc 3462
gcc new 7469
icc new 1520
gcc malloc 3151
icc malloc 4111
gcc new 8023
icc new 1566
gcc malloc 3126
icc malloc 3591
gcc new 7855
icc new 1478
gcc malloc 3175
icc malloc 3726
gcc new 9675
icc new 1395
gcc malloc 3842
icc malloc 4350
gcc new 7360
icc new 1581
gcc malloc 2885
icc malloc 4931
gcc new 7384
icc new 1508
gcc malloc 4466
icc malloc 3732
gcc new 7764
icc new 1539
gcc malloc 3380
icc malloc 3692
gcc new 7209
icc new 1468
gcc malloc 4114
icc malloc 3860
gcc new 8158
icc new 2141
gcc malloc 3107
icc malloc 5081
gcc new 7803
icc new 1480
gcc malloc 3949
icc malloc 3095
gcc new 10868
icc new 1798
gcc malloc 3134
icc malloc 4295
gcc new 8167
icc new 2719
